id,cidade,uf,lat,lng,nome_polo,nome_fantasia,logradouro,numero,bairro,cep,complemento,telefone1,telefone2,email1,email2,url
575,Mateiros,TO,-10.38536670,-46.43930540,MATEIROS - CENTRO,POLO DE APOIO PRESENCIAL DA UAB DE MATEIROS,Avenida Maranhão,0,Centro,77593000,Escola Municipal Estafanio Telles Chagas,(63) 35341133,(63) 35341008,uabmateiros@tecnologia.to.gov.br,pitholomeus@hotmail.com,NULL
458,Euclides da Cunha,BA,-10.42066760,-38.73681870,EUCLIDES DA CUNHA - JEREMIAS,CAMPUS XXII DA UNIVERSIDADE DO ESTADO DA BAHIA,Rua Enock Canário de Araújo,0,Jeremias,48500-00,NULL,(75) 32713227,(75) 999980989,Itsantos@uneb.br,Ivetesantoss@bol.com.br,NULL
590,Nossa Senhora das Dores,SE,-10.46309930,-37.23299790,NOSSA SENHORA DAS DORES - CENTRO,POLO PRESENCIAL PROFESSORA LUCIA SANTANA OLIVEIRA,Praça Cônego Miguel Monteiro Barbosa,134,Praça da Matriz,49600000,NULL,(79) 32651322,(),uabpolodores@gmail.com,NULL,NULL
266,Brejo Grande,SE,-10.49181950,-36.45807750,BREJO GRANDE - CENTRO,POLO FOZ DO SAO FRANCISCO-  B. GRANDE/ SE,Rua Dr. Eneas Ferreira,510,Centro,49995000,NULL,(79) 33661424,(),polouabbrejogrande@gmail.com,polofozdosaofrancisco@gmail.com,NULL
1063,Campo Formoso,BA,-10.509092,-40.324622,CAMPO FORMOSO - CENTRO,CENTRO DE FORMACAO DOS PROFISSIONAIS DA EDUCACAO,Rua Arsenio Alves,0,Centro,44790000,NULL,(74) 36451229,(),pmcf.educacao@gmail.com,NULL,NULL
8,Xapuri,AC,-10.53493910,-68.57241120,XAPURI - CENTRO,CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - XAPURI - UAB,Rua Beijamin Constant,0,Centro,69930000,NULL,(68) 35422387,(),ENSINO.EDUCACAO@AC.GOV.BR,NULL,NULL
268,Japaratuba,SE,-10.56296090,-36.91110570,JAPARATUBA - CENTRO,POLO UAB - JAPARATUBA,Av. Rio de Janeiro,0,Centro,49960-00,Anexo ao Estádio Tozão,(79) 32722355,(),uabem.japaratuba@gmail.com,NULL,NULL
433,Cristalândia,TO,-10.58804610,-49.44660050,CRISTALANDIA - CENTRO,POLO DE EAD DE CRISTALANDIA,Avenida Dom Jaime Antônio Schuck,2600,Centro,77490000,Prédio,(63) 33540199,(),uabcristalandia@seduc.to.gov.br,benzanila@gmail.com,NULL
784,Colíder,MT,-10.67456640,-55.40286800,COLIDER - SANTA CLARA,CENTRO DE APOIO DE COLIDER PRO-LICENCIATURA I,Av. Dauri Riva,962,Santa Clara,78500000,Setor Norte,(66) 35411315,(),educacao@colider.mt.gov.br,smec_2@hotmail.com,NULL
2,Brasiléia,AC,-10.70599300,-69.19239160,BRASILEIA - CENTRO,POLO UAB - BRASILEIA,Av. Prefeito Rolando Moreira,230,centro,69932000,NULL,(68) 35463539,(),polouab.brasileia@ac.gov.br,ceciliaoliveister@gmail.com,NULL
647,Porto Nacional,TO,-10.70688450,-48.41353120,PORTO NACIONAL - CENTRO,POLO DE APOIO PRESENCIAL DE PORTO NACIONAL,Rua Getúlio Vargas,NULL,Centro,77013020,Esquina com a rua Bartolomeu Bueno,(63) 33635968,(),uabportonacional@seduc.to.gov.br,NULL,NULL
272,São Domingos,SE,-10.77901860,-37.58541840,SAO DOMINGOS - CENTRO,POLO UAB - SAO DOMINGOS,Av. José Freire de Lima,0,Centro,49525-00,NULL,() 34551491,(79),polosaodomingos.cesad@gmail.com,marinalvaufs@gmail.com,NULL
270,Poço Verde,SE,-10.83230270,-38.18997820,POCO VERDE - CENTRO,POLO UAB - POCO VERDE,Rua José Rodrigues de Melo,124,Centro,49490-00,NULL,(79) 35492095,(),UABPOCOVERDE@GMAIL.COM,MARCOSLINOL@HOTMAIL.COM,NULL
213,Ji-Paraná,RO,-10.88054270,-61.96939700,JI-PARANA - JARDIM DOS IMIGRANTES,POLO UAB - JI-PARANA,Transcontinental,437,Centro,76900041,NULL,(69) 99948844,(),UABPOLOJIPARANA@GMAIL.COM,NULL,NULL
545,Lagarto,SE,-10.90573880,-37.68122800,LAGARTO - COLONIA TREZE,POLO PRESENCIAL DO MUNICIPIO DE LARGATO - COLONIA TREZE,Av. Antonio Martins Menezes,0,Centro,49400-00,Povoado Colônia 13,(79) 36421657,(79) 99378534,marcosdo13@gmail.com,uabcoloniatreze@yahoo.com.br,uabcoloniatreze@yahoo.com.br
869,São Cristóvão,SE,-10.96667390,-37.25440650,SAO CRISTOVAO - ROZA ELZE,POLO DE APOIO PRESENCIAL DA UAB/UFS - SAO CRISTOVAO,Av. Marechal Rondon,0,Jardim Rosa Elze,49100-00,Cid. Universitária Prof. José Aloísio de Campos - Didática 2,(79) 21056870,(79) 21056869,quiteria.barros@seed.se.gov.br,lucinhab7@hotmail.com,www.cesad.ufs.br
115,Juara,MT,-11.00498360,-57.46272590,JUARA - CENTRO,POLO UAB - JUARA,Rua Piracicaba,105W,Centro,78575000,NULL,(66) 35564933,(),uabjuara@hotmail.com,valdirene_juara@hotmail.com,NULL
27,Itapicuru,BA,-11.23628920,-38.23220280,ITAPICURU - CENTRO,POLO UAB - ITAPICURU,Praça da Bandeira,320,Centro,48475-00,NULL,(75) 34302323,(75) 34302153,poloitapicuru@gmail.com,NULL,poloitapicuru@gmail.com
267,Estância,SE,-11.24341800,-37.42544440,ESTANCIA - CENTRO,POLO SENADOR JULIO CESAR LEITE,Praça Jackson de Figueiredo,75,Centro,49200000,NULL,(79) 35221461,(79) 98792971,polouabestancia.se@gmail.com,polouabestancia1@gmail.com,NULL
119,São Félix do Araguaia,MT,-11.27486410,-52.53186040,SAO FELIX DO ARAGUAIA - CENTRO,POLO UAB - SAO FELIX DO ARAGUAIA,Rua João Irineu,0,Centro,78670000,Esquina com a Rua do Comércio,(66) 35222227,(66) 35221140,uabertabrasil@yahoo.com.br,sfa.cefapro@seduc.mt.gov.br,NULL
264,Arauá,SE,-11.27800520,-37.57476470,ARAUA - CENTRO,POLO DA UAB JOALDO COSTA CARVALHO - ARAUA,Rua José Dias Filho - Conjunto Alzira Costa,0,Centro,49220-00,ANTIGA ESCOLA ESTADUAL JOALDO COSTA CARVALHO,(79) 35471756,(),poloaraua.ufs@gmail.com,nubia_medeiro@hotmail.com,www.poloarauaufs.blogspot.com
507,Irecê,BA,-11.304561,-41.857629,IRECE - CENTRO,POLO UAB IRECE,AVENIDA CEL. TERÊNCIO DOURADO,0,CENTRO,44900000,ESPAÇO UFBA,(74) 36414792,(74) 36411958,uabpoloirece@gmail.com,NULL,NULL
1075,Capim Grosso,BA,-11.31218330,-40.00176400,CAPIM GROSSO - JARDIM ARAUJO,POLO DA UNIVERSIDADE ABERTA DO BRASIL EM CAPIM GROSSO,Rua Jacobina,0,Jardim Araújo,44695000,NULL,(74) 991032460,(74) 36511844,polouabcapimgrosso.2014@gmail.com,neidesun1@hotmail.com,NULL
542,Juína,MT,-11.39934610,-59.47209040,JUINA - SETOR DE SERVICOS,POLO UAB DE JUINA,Av. dos Jambos,1901,Centro,7832000,Casa da Cultura,(66) 35661567,(66) 996817478,uabpolojuina@gmail.com,rosangelaap09@hotmail.com,NULL
1082,Rio Real,BA,-11.54381850,-37.93607550,RIO REAL - ESTADUAL,ESCOLA MUNICIPAL DJALMA FARIA DE OLIVEIRA,Loteamento Bela Vista,0,Centro,48330-00,NULL,(75) 34261994,(75) 98403596,semedrioreal@yahoo.com.br,mazinho.governo@rioreal.ba.gov.br,NULL
421,Conceição do Coité,BA,-11.55766760,-39.27910110,CONCEICAO DO COITE - CENTRO,POLO UAB DE CONCEICAO DO COITE - BA.,Rua Maximino Madureira,0,Centro,48730000,Escola Estadual Olgarina Pitangueira Pinheiro,(75) 32622052,(75) 991627166,polouabcoite@gmail.com,vero.coite@hotmail.com,http://uabconceicaodocoite.blogspot.com/
717,Serrinha,BA,-11.649988,-39.006677,SERRINHA - GINASIO,ESCOLA ESTADUAL LEOBINO CARDOSO RIBEIRO,Avenida Luís Viana Filho,1041,Ginásio,48700000,Junto à Escola Estadual Leobino Cardoso Ribeiro,(75) 32618609,(75) 32612472,nilson70@gmail.com,irene.cazorla@educacao.ba.gov.br,NULL
33,Piritiba,BA,-11.70887120,-40.59405650,PIRITIBA - CENTRO,POLO UAB DE APOIO PRESENCIAL DE PIRITIBA - BA,Praça Professor Luis Rogério,0,Centro,44830000,NULL,(),(74) 36282013,ABIMAELGAMA@HOTMAIL.COM,NULL,NULL
489,Gurupi,TO,-11.72837520,-49.06860830,GURUPI - ZONA RURAL,"POLO DE EDUCACAO A DISTANCIA, NO MUNICIPIO DE GURUPI","Rua Badejós, Lote 7, Chácara",69/72,Zona Rural,77402970,Campus Gurupi,(63) 33113509,(63) 999767790,uabgurupi@seduc.to.gov.br,NULL,NULL
446,Dianópolis,TO,-11.73192730,-46.90283750,DIANOPOLIS - CENTRO,POLO DE APOIO PRESENCIAL PARA O DESENVOLVIMENTO DO SUDESTE DO TOCANTINS,Praça Aurélio Antonio Araújo,2,Centro,77300000,NULL,(63) 36921137,(63) 84134013,uabdianopolis@tecnologia.to.gov.br,celabilio@yahoo.com.br,NULL
214,Rolim de Moura,RO,-11.73753850,-61.79412320,ROLIM DE MOURA - CIDADE ALTA,CENTRO DE FORMACAO TECNOLOGICO DA ZONA DA MATA ANCILA ANA TONATTO - UAB,Avenida São Paulo,4679,Beira Rio,76940000,Escola Estadual Tancredo de Almeida - Anexo I,(69) 84243962,(69) 84256735,uabsecretaria@hotmail.com,valdety_oliveira@hotmail.com,NULL
24,Ipupiara,BA,-11.81890580,-42.43316240,IPUPIARA - CENTRO,POLO UAB - IPUPIARA,Rua Aurora,5,Centro,47590000,NULL,(77) 36461114,(77) 991617303,uabipupiara@hotmail.com,zregina2014@gmail.com,NULL
23,Esplanada,BA,-11.85881870,-37.85123090,ESPLANADA - CENTRO,POLO UAB - ESPLANADA,Praça Nossa Senhora da Pompeia,172,Centro,48370000,Anexo a Escola Antonio Magalhães,(75) 34271309,(75) 34271486,poloesplanada@gd.com.br,rosanacardial@gmail.com,NULL
816,Pintadas,BA,-11.89337100,-39.94015500,PINTADAS - CENTRO,POLO UAB PINTADAS,Rua Dom Mathias Schimit,0,Centro,44610000,Escola Municipal Zilda Dias da Silva,(75) 36932146,(75) 998917905,uab.pintadas@educ.ba.gov.br,manoell10@yahoo.com.br,NULL
31,Mundo Novo,BA,-11.94301560,-40.51271420,MUNDO NOVO - CENTRO,POLO UAB MUNDO NOVO,Rua Jose Carlos da Mota,0,Centro,44800000,NULL,(74) 36262764,(),polo.mundonovo@gmail.com,leydjauabmn@gmail.com,NULL
1087,Ipirá,BA,-12.18806540,-39.73433800,IPIRA - SETE DE JULHO,POLO UNIVERSIDADE ABERTA DO BRASIL – UAB IPIRA-BA,Rua Manuel Oliveira e Silva,147,Sete de Julho,44600-00,Campus Universitario,(75) 32543126,(),educacaoipira@ig.com.br,NULL,NULL
1123,Teodoro Sampaio,BA,-12.23862680,-38.60053280,TEODORO SAMPAIO - CENTRO,POLO TEODORO SAMPAIO,Av Castelo Branco,0,Centro,44280-00,NULL,(75) 88644974,(75) 88096961,ailton.mtecnica@yahoo.com.br,desenvolveteodoro@yahoo.com.br,NULL
868,Taguatinga,TO,-12.38492910,-46.59333820,TAGUATINGA - SETOR NORTE,POLO DE EDUCACAO A DISTANCIA DE TAGUATINGA,"Quadra 32, Rua 11",1,Setor Norte,77320000,Centro de Ensino Laura do Carmo,(63) 32186170,(),uabtaguatinga@seduc.to.gov.br,NULL,NULL
857,Alvorada,TO,-12.43018570,-49.12214140,ALVORADA - CENTRO,POLO DE EDUCAçãO A  DISTâNCIA DE ALVORADA,Av. Peixe,7,Centro,77480000,Jorge Figueiras,(63) 33532481,(63) 99658864,uabalvorada@seduc.to.gov.br,NULL,NULL
684,Santo Estêvão,BA,-12.47542520,-39.25832930,SANTO ESTEVAO - CENTRO,POLO DE APOIO PRESENCIAL -UAB  SANTO ESTEVAO-BA,Rua Desembargador Felinto Bastos,0,Centro,44190000,Fundos da Escola Dr. Edvaldo Boaventura,(75) 32752289,(),durgecardoso@yahoo.com.br,durgematos@gmail.com,NULL
30,Mata de São João,BA,-12.47787060,-38.12659160,MATA DE SAO JOAO - CENTRO,MARIA ODÍLIA VASCONCELOS,RUA MARECHAL DEODORO,36,CENTRO,48280000,NULL,(71) 999764796,(71) 82032804,polomatadesaojoao@outlook.com,magdascruz@gmail.com,NULL
714,Seabra,BA,-12.54446810,-41.84020540,SEABRA - CENTRO,CENTRO EDUCACIONAL DE SEABRA - POLO UAB 18- SEABRA,Av. Franklin de Queiroz,595,Centro,46900000,NULL,(75) 33311494,(75) 33311290,polouabseabraba@gmail.com,eldynnarosa@yahoo.com.br,NULL
509,Itaberaba,BA,-12.54774920,-40.22712430,ITABERABA - CENTRO,UAB POLO ITABERABA,Avenida Rio Branco,367,Centro,46880000,Antiga Escola Castro Cincurá,(75) 32516644,(),uab11itaberaba.ba@gmail.com,uabpoloitaberaba@gmail.com,NULL
32,Paratinga,BA,-12.58964710,-43.09716250,PARATINGA - SAO JOAO,POLO DA APOIO PRESENCIAL - PARATINGA - UAB,Rua São João,0,São João,47500-00,Próximo a BR,(77) 36642279,(77) 36642068,polouabparatinga@hotmail.com,aritanamartins2@hotmail.com,NULL
22,Dias d´Ávila,BA,-12.60932210,-38.30603210,DIAS D'AVILA - NOVA DIAS D'AVILA,POLO UAB - DIAS D'AVILA,Rua Cajahiba,221,Nova Dias D'ávila,42850-00,NULL,(71) 36252785,(71) 99334439,uab.diasdavila@cead.ufop.br,pfg.gonzaga@gmail.com,NULL
212,Chupinguaia,RO,-12.62165160,-60.86093580,CHUPINGUAIA - CENTRO,POLO UAB - CHUPINGUAIA,Silvana Gonçalves,1492,Centro,76990000,NULL,(69) 33461107,(69) 33461787,uab.chupinguia@hotmail.com,uab.chuoinguai@gmail.com,NULL
317,Arraias,TO,-12.67706010,-46.98051030,ARRAIAS - CENTRO,POLO UAB - ARRAIAS,Av. Universitária,0,Centro,77330000,Universidade Federal de Tocantins em Arraias,(63) 36531501,(),NULL,NULL,NULL
20,Camaçari,BA,-12.69584420,-38.32138160,CAMACARI - BAIRRO DO NATAL,POLO UAB - CAMACARI,Cidade do Saber,0,Do Natal,4280000,Rua do Telegrafo,(71) 36449839,(71) 36449839,polocamacari@gmail.com,danimil82@yahoo.com.br,NULL
1125,Sapeaçu,BA,-12.73455200,-39.22715880,SAPEACU - CENTRO,POLO SAPEACU,Rua da Vitória,0,Centro,44230-00,NULL,(75) 36272136,(75) 36272108,jovivallucas@uol.com.br,NULL,NULL
37,Simões Filho,BA,-12.77007160,-38.42188490,SIMOES FILHO - CIA I,POLO UAB-SIMOES FILHO,Praça vinte e um de abril,0,cia I,43700000,NULL,(71) 33960247,(71) 988730073,uabsimoesfilho@gmail.com,veraburi@hotmail.com,NULL
29,Lauro de Freitas,BA,-12.85284380,-38.32711120,LAURO DE FREITAS - JOQUEI CLUB - PITANGA,POLO UAB - LAURO DE FREITAS,RUA DOS VEREADORES,0,JOQUEI CLUB - PITANGA,41700000,NULL,(71) 32873319,(),uablfreitas@gmail.com,NULL,NULL
1158,Salvador,BA,-12.868056,-38.473017,SALVADOR - PERIPERI,Polo UAB de Salvador - Periperi,Rua Barbosa Rosalvo Romeo,0,PERIPERI,40000990,NULL,(71) 33380056,(71) 92453619,coordenacaopolosuabbahia@gmail.com,NULL,NULL
118,Ribeirão Cascalheira,MT,-12.93024940,-51.51500770,RIBEIRAO CASCALHEIRA - SETOR INDUSTRIAL,POLO RUI BARBOSA - RIBEIRAO CASCALHEIRA - UAB,Av. Padre Joao Bosco,2918,Setor Industrial,78765-00,NULL,(66) 34892305,(),uabpoloribcasc@gmail.com,NULL,NULL
560,Lucas do Rio Verde,MT,-12.96526510,-56.11422530,LUCAS DO RIO VERDE - JARDIM PRIMAVERA,LUCAS DO RIO VERDE-MT,Rua Cedro,61,Jardim Primavera,78455000,S - Escola Municipal Vinícius de Moraes,(65) 35482327,(),uablrv@gmail.com,uabpololucasdorioverde@gmail.com,NULL
724,Sorriso,MT,-12.97875000,-55.66896360,SORRISO - CENTRO,SORRISO,Av. Brasil,850,Centro,78890000,Escola Municipal Professora Ivete Lourdes Arenhardt,(66) 39075599,(66) 39075597,uab.sorriso@hotmail.com,professorwelton@.com,NULL
302,Amargosa,BA,-13.04798930,-39.63116880,AMARGOSA - CENTRO,POLO UAB - AMARGOSA,Rua Gilda Ferreira,307,centro,4500000,NULL,(75) 36341030,(75) 36343977,uab@amargosa.ba.gov.br,uabamargosa@hotmail.com,NULL
1008,Comodoro,MT,-13.21316100,-59.65644940,COMODORO - NOVA VACARIA,POLO COMODORO,Rua José Laurindo Camilo,353-S,Nova Vacaria,78310000,NULL,() 32831472,(65),semeccdo@bol.com.br,NULL,NULL
808,Macaúbas,BA,-13.23080590,-42.78575830,MACAUBAS - ALTO ALEXANDRINO,POLO UAB MACAUBAS,Rua Veredinha,0,Alto do Alexandrino,46500000,Antigo Colegio Manuel Amancio,(77) 34731833,(77) 34731381,jonaldosilva@yahoo.com.br,uab.macaubas@educ.ba.gov.br,NULL
19,Bom Jesus da Lapa,BA,-13.27861540,-43.25215070,BOM JESUS DA LAPA - AMARALINA,POLO DE APOIO PRESENCIAL DE BOM JESUS DA LAPA,Rua Dr. Josefino Moreira Castro,0,Amaralina,47.60000,NULL,(77) 34810923,(77) 999996933,uab.lapa@gmail.com,elianelapa@gmail.com,NULL
998,Sapezal,MT,-13.54799050,-58.82038500,SAPEZAL - CENTRO,POLO DE SAPEZAL,Rua do Cascudo,1049,Centro,78365000,Esquina com a Avenida Dourado,(65) 33831141,(),uab@sapezal.mt.gov.br,NULL,NULL
1199,Canarana,MT,-13.555755,-52.264898,CANARANA - CENTRO,Polo UAB de Canarana,Avenida Rio Grande do Sul,0,Centro,78640000,NULL,(66) 34781600,(66) 96582282,uabcanarana@outlook.com,NULL,NULL
1010,Cavalcante,GO,-13.67734910,-47.60616250,CAVALCANTE - CENTRO,POLO UAB EM CAVALCANTE,Rua Guilhermino Magalhães - Quadra 27,228,Centro,73790-00,Casa do Aprendiz,(62) 34941393,(),polouabcavalcantego@gmail.com,NULL,NULL
536,Jequié,BA,-13.85251280,-40.07876480,JEQUIÉ - CAMPO DO AMÉRICA,POLO DE APOIO PRESENCIAL RIO DAS CONTAS DA UNIVERSIDADE ABERTA DO BRASIL,Rua Manoel Vitorino,566,Campo do América,45203165,Anexo ao prédio da secretária de educação,(73) 35278570,(),fagulopes@hotmail.com,NULL,NULL
997,Água Boa,MT,-13.93989710,-52.44654740,AGUA BOA - TROPICAL,POLO DE AGUA BOA,Rua 1,2301,Jardim Tropical,78635000,NULL,(66) 34686400,(),uabaguaboa@hotmail.com,NULL,NULL
21,Carinhanha,BA,-14.01195930,-43.86732220,CARINHANHA - CENTRO,POLO UAB - POLO EDUCACIONAL DONA CARMEN/CARINHANHA,Praça do Educandario,1,Centro,46445000,Proximo a praça Beira Rio,(77) 34852803,(),uabpolocarinhanha@yahoo.com.br,NULL,BA
444,Diamantino,MT,-14.06399120,-57.01116810,DIAMANTINO - MT 240,POLO DE APOIO PRESENCIAL DO MUNICIPIO DE DIAMANTINO/MT,Rodovia Senador Roberto Campos,0,MT 240,78400000,Saída para Alto Paraguai - Antiga Escola Agrícola,(),(65) 99815341,polouab2013@yahoo.com.br,carladrianarossi@yahoo.com.br,NULL
359,Brumado,BA,-14.19686140,-41.68097240,BRUMADO - TANQUE,POLO DA UAB EM BRUMADO,Rua Antonio Carlos Magalhaes,0,do Tanque,46100000,NULL,(77) 34412404,(77) 34412195,uab_brumado@brumado.ba.gov.br,NULL,NULL
75,Alto Paraíso de Goiás,GO,-14.20922790,-47.68490070,ALTO PARAISO DE GOIAS - CENTRO,POLO UAB ALTO PARAISO DE GOIAS,Rua São Jorge Quadra 26 Parte da APM,0,Centro,73770000,NULL,(62) 34461371,(62) 34462053,coord.uab.alto.go@gmail.com,martauabunb@gmail.com,NULL
650,Posse,GO,-14.22632400,-46.43930540,POSSE - CENTRO,POLO UAB - POSSE-GO,Rua Antonio Marques Gouveia,89,Centro,73900000,NULL,(62) 34814060,(62) 996694289,cidamello@yahoo.com.br,polouabposse@yahoo.com.br,NULL
747,Uruaçu,GO,-14.39456410,-49.08171240,URUACU - CENTRO,POLO DE APOIO PRESENCIAL UAB DE URUACU - GO,R. Coronel Aristides de Freitas,0,centro,76400-00,Quadra 9 - lotes 22-28,(62) 33576687,(62) 33571500,uab.polouruacu@hotmail.com,marciamendes.polouab.uruacu@gmail.com,NULL
1161,Niquelândia,GO,-14.472605,-48.460854,NIQUELÂNDIA - CENTRO,Polo UAB de Niquelândia,Rua Itabaiana,2,Centro,76420000,Quadra U Lt 01,(62) 33541571,(62) 96565514,polouabniquelandia@gmail.com,NULL,NULL
1007,Arenápolis,MT,-14.50621580,-56.85360080,ARENAPOLIS - VILA NOVA,POLO ARENAPOLIS,Rua Castelo Branco,0,Vila Nova,78420000,NULL,(65) 33431465,(),marcyapp@hotmail.com,NULL,NULL
598,Nova Xavantina,MT,-14.56234230,-52.44654740,NOVA XAVANTINA - JARDIM ALVORADA,POLO EDUCACIONAL DE APOIO PRESENCIAL UAB NOVA XAVANTINA,Rua Oscar Niemayer,185,Jardim Alvorada,78690000,NULL,(66) 34382115,(),polouabnx@hotmail.com,polouabnx@yahoo.com.br,NULL
492,Ibicuí,BA,-14.74884320,-39.94015500,IBICUI - CENTRO,UNIVERSIDADE ABERTA DO BRASIL - POLO DE IBICUI,Av. Lomanto Júnior,0,Centro,45290-00,NULL,(73) 32722294,(),uab2_ibicui@hotmail.com,NULL,NULL
28,Jacaraci,BA,-14.77314020,-42.27568610,JACARACI - CENTRO,POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL - JACARACI - BAHIA,Av. Mozart Davide S/N,0,Centro,46310000,NULL,(77) 34662155,(77) 34662026,POLOUAB.JACARACIBA@GMAIL.COM,coqui.kok@hotmail.com,NULL
510,Itabuna,BA,-14.78803270,-39.27841780,ITABUNA - LOMANTO JUNIOR,POLO UAB ITABUNA/BA,Av. J.S. Pinheiro,0,Lomanto Júnior,45600-01,Prédio do Colégio Modelo Luis Eduardo Magalhães,(73) 36132980,(),polouab.itabuna@educacao.ba.gov.br,polouabitabuna@gmail.com,NULL
498,Ilhéus,BA,-14.79350510,-39.04637970,ILHEUS - MALHADO,POLO UAB - ILHEUS,Rua epitácio Pessoa,42,cENTRO,45659050,NULL,(73) 36341747,(73) 36344001,polouabilheus@gmail.com,monteiroilheus@gmail.com,http://polouabilheus.blogspot.com
