id_polo_1;"no_municipio_polo_2";"no_polo_3";"polo_dependencia_administrativa_4";"polo_status_5";"polo_conceito_6";id_ies_7;id_ies_8;"ies_uf_9";"sg_ies_10";"no_curso_11";id_curso_12;"tipo_curso_13";"dt_inicio_real_oferta_14";"dt_provavel_fim_15";"dt_fim_curso_16";qt_vagas_17;qt_alunos_formado_18;qt_alunos_nao_concluinte_19;qt_alunos_desvinculado_20;qt_alunos_cadastrado_21
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"PEDAGOGIA"; 167;"LICENCIATURA";"03/2014";"01/2019";"09/2018"; 50; 0; 0; 13; 50
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 1; 0; 1; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 3; 0; 4; 7
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"FACILITADORES DE EDUCACAO PERMANENTE EM SAUDE"; 22;"APERFEIÇOAMENTO";"08/2014";"04/2015";"08/2014"; 40; 5; 0; 2; 7
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"FACILITADORES DE EDUCACAO PERMANENTE EM SAUDE"; 22;"APERFEIÇOAMENTO";"12/2008";"08/2009";"08/2009"; 60; 12; 0; 0; 12
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"GESTAO DE PROJETOS DE INVESTIMENTOS EM SAUDE"; 23;"APERFEIÇOAMENTO";"03/2010";"11/2010";"09/2010"; 30; 11; 0; 5; 16
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"GESTAO EM SAUDE"; 24;"ESPECIALIZAÇÃO";"05/2010";"04/2011";"11/2009"; 60; 12; 0; 40; 52
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 33; 33;"AM";"UFAM";"ADMINISTRACAO"; 34;"BACHARELADO";;"04/2018";"05/2018"; 60; 0; 0; 0; 0
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 21; 0; 0; 0; 7
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2011";"09/2013";"10/2013"; 50; 13; 6; 2; 21
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2013";"09/2015";"10/2015"; 50; 5; 0; 16; 21
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 20; 0; 0; 0; 11
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";;"09/2014";"10/2014"; 50; 0; 0; 0; 0
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"TECNOLOGIAS NO ENSINO DE MATEMATICA"; 62;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 30; 0; 0; 0; 5
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"TECNOLOGIAS NO ENSINO DE MATEMATICA"; 62;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 30; 0; 0; 0; 1
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 45; 45;"MG";"UFOP";"GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA"; 1221;"ESPECIALIZAÇÃO";"09/2013";"04/2016";"09/2014"; 30; 0; 0; 0; 25
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ADMINISTRACAO PUBLICA"; 871;"BACHARELADO";"03/2011";"02/2015";"12/2015"; 40; 13; 0; 9; 36
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2009";"02/2013";"03/2013"; 20; 15; 0; 12; 27
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2014";"02/2018";"09/2017"; 25; 0; 0; 0; 25
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 20; 8; 0; 5; 13
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"DESENVOLVIMENTO HUMANO, EDUCACAO E INCLUSAO ESCOLAR"; 386;"ESPECIALIZAÇÃO";"08/2014";"01/2016";"12/2014"; 50; 0; 78; 0; 78
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"EDUCACAO EM DIREITOS HUMANOS"; 997;"APERFEIÇOAMENTO";;"02/2012";"09/2011"; 100; 0; 0; 0; 0
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"GESTAO PUBLICA"; 873;"ESPECIALIZAÇÃO";"01/2011";"06/2012";"07/2011"; 40; 0; 37; 0; 37
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 9; 1; 13; 23
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"03/2014";"01/2018";"09/2017"; 25; 0; 0; 10; 25
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 10; 0; 1; 11
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 13; 1; 8; 22
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"03/2014";"01/2018";"09/2017"; 30; 0; 0; 0; 11
 3;"CRUZEIRO DO SUL";"CRUZEIRO DO SUL - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 1; 0; 7; 8
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"GESTAO DE PROJETOS DE INVESTIMENTOS EM SAUDE"; 23;"APERFEIÇOAMENTO";"11/2008";"07/2009";"08/2009"; 33; 0; 0; 16; 16
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 33; 33;"AM";"UFAM";"ADMINISTRACAO"; 34;"BACHARELADO";;"04/2018";"05/2018"; 60; 0; 0; 0; 0
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 33; 33;"AM";"UFAM";"CIENCIAS AGRARIAS"; 36;"LICENCIATURA";;"02/2018";"03/2018"; 50; 0; 0; 0; 0
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 30; 0; 0; 0; 5
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 30; 0; 0; 0; 4
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";;"09/2013";"10/2013"; 50; 0; 0; 0; 0
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 20; 9; 0; 7; 16
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";;"09/2011";"10/2011"; 15; 0; 0; 0; 0
 4;"FEIJO";"FEIJO - CIDADE NOVA";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 1; 0; 0; 1
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO"; 21;"ESPECIALIZAÇÃO";"05/2010";"04/2011";"11/2010"; 20; 8; 0; 2; 10
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO"; 21;"ESPECIALIZAÇÃO";"11/2008";"10/2009";"11/2009"; 30; 9; 0; 0; 9
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO"; 21;"ESPECIALIZAÇÃO";"12/2012";"11/2013";"03/2013"; 20; 10; 0; 9; 19
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"FACILITADORES DE EDUCACAO PERMANENTE EM SAUDE"; 22;"APERFEIÇOAMENTO";"08/2014";"04/2015";"08/2014"; 40; 8; 0; 4; 12
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"FACILITADORES DE EDUCACAO PERMANENTE EM SAUDE"; 22;"APERFEIÇOAMENTO";"11/2009";"07/2010";"09/2010"; 26; 17; 0; 6; 23
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"GESTAO DE PROJETOS DE INVESTIMENTOS EM SAUDE"; 23;"APERFEIÇOAMENTO";"03/2010";"11/2010";"09/2010"; 60; 5; 0; 6; 11
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"GESTAO EM SAUDE"; 24;"ESPECIALIZAÇÃO";"03/2010";"02/2011";"11/2010"; 90; 11; 0; 31; 42
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"GESTAO EM SAUDE"; 24;"ESPECIALIZAÇÃO";"12/2008";"11/2009";"11/2009"; 60; 10; 0; 50; 60
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 17; 17;"RJ";"FIOCRUZ";"VIGILANCIA SANITARIA"; 25;"APERFEIÇOAMENTO";"12/2012";"08/2013";"12/2012"; 60; 8; 0; 8; 16
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 30; 0; 0; 1; 25
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 30; 0; 0; 0; 26
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"TECNOLOGIAS NO ENSINO DE MATEMATICA"; 62;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 30; 0; 0; 0; 7
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"TECNOLOGIAS NO ENSINO DE MATEMATICA"; 62;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 30; 0; 0; 0; 5
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 45; 45;"MG";"UFOP";"EDUCACAO AMBIENTAL - ESCOLAS SUSTENTAVEIS E COM VIDA"; 945;"APERFEIÇOAMENTO";"11/2010";"01/2011";"02/2011"; 40; 25; 0; 30; 55
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 45; 45;"MG";"UFOP";"GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA"; 1221;"ESPECIALIZAÇÃO";"03/2013";"12/2013";"07/2014"; 40; 0; 61; 0; 61
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 45; 45;"MG";"UFOP";"GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA"; 1221;"ESPECIALIZAÇÃO";"09/2013";"04/2016";"03/2015"; 30; 0; 0; 0; 39
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 45; 45;"MG";"UFOP";"GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA"; 1221;"ESPECIALIZAÇÃO";"11/2010";"08/2011";"10/2011"; 40; 26; 0; 19; 45
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ADMINISTRACAO - PILOTO"; 383;"BACHARELADO";"06/2007";"11/2011";"06/2011"; 30; 0; 103; 3; 106
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ADMINISTRACAO PUBLICA"; 871;"BACHARELADO";"03/2011";"02/2015";"12/2015"; 80; 1; 0; 43; 73
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 8; 5; 17; 30
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2014";"02/2018";"09/2017"; 25; 0; 0; 0; 25
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 23; 6; 0; 12; 18
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"DESENVOLVIMENTO HUMANO, EDUCACAO E INCLUSAO ESCOLAR"; 386;"ESPECIALIZAÇÃO";"08/2014";"01/2016";"12/2014"; 50; 0; 43; 0; 43
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"EDUCACAO EM DIREITOS HUMANOS"; 997;"APERFEIÇOAMENTO";;"02/2012";"09/2011"; 100; 0; 0; 0; 0
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"GESTAO PUBLICA"; 873;"ESPECIALIZAÇÃO";"01/2011";"06/2012";"07/2011"; 40; 0; 36; 0; 36
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 8; 0; 3; 11
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"03/2014";"01/2018";"09/2017"; 25; 0; 0; 8; 24
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 1; 0; 0; 1
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 0; 1; 11; 12
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"03/2014";"01/2018";"09/2017"; 30; 0; 0; 0; 15
 5;"RIO BRANCO";"RIO BRANCO - VILA IVONETE";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 5; 0; 3; 8
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 41; 0; 0; 0; 5
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2013";"09/2015";"10/2015"; 50; 8; 1; 19; 28
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 40; 0; 0; 0; 5
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"11/2012";"10/2014";"10/2014"; 50; 16; 23; 2; 41
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";;"09/2013";"10/2013"; 50; 0; 0; 0; 0
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 20; 1; 11; 32
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2014";"02/2018";"09/2017"; 25; 0; 0; 0; 16
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 20; 9; 0; 5; 14
 6;"SENA MADUREIRA";"SENA MADUREIRA - CSU";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"EDUCACAO EM DIREITOS HUMANOS"; 997;"APERFEIÇOAMENTO";;"02/2012";"09/2011"; 100; 0; 0; 0; 0
